row	training	assigned_sex	height	weight	max_hr	age	VO2_Max
1	none	female	58.92476009599383	161.00347579818086	196.2064525365773	41.149744551638804	21.74790350838484
2	high	male	65.62662917441678	208.76012783385914	191.19266502541268	33.66066591645059	51.39686925378756
3	none	female	58.51475734162835	168.74894606912736	193.79120170548413	34.20138564790322	25.45003911326362
4	moderate	male	67.96430257614335	115.37967474875808	188.23519722625926	29.92403628766069	43.031121639624956
5	low	male	66.54526068705711	155.27425261278293	190.8821046749093	14.439092969021765	32.42994884973844
6	intense	female	60.96752407735725	197.67649355239996	188.35561415620546	42.87946614002824	51.15886939138451
7	moderate	female	75.69554798221004	210.60089527723048	197.51554149081562	32.05054001863397	34.444508206514065
8	high	female	62.90769435342167	174.16895057300488	192.22212618024918	34.69234722375504	48.509797388750904
9	low	female	67.51845068566966	202.40995535510592	194.63352079391396	19.082832375584022	33.53001318571458
10	none	female	69.4734866924721	206.7012437206257	189.89942868534945	42.247548412369675	26.769332406400842
11	moderate	male	67.40137091057693	166.96909182163404	183.5249426346605	29.091400316719493	50.53579377928683
12	high	female	62.14732423757583	130.20730402118207	190.52562515295804	33.048611381209355	40.72728768054421
13	moderate	female	63.050537318341874	186.71072658091862	177.506429381033	18.626056906133755	35.06382177061794
14	low	female	71.58041565197519	106.49390418009652	188.54530584434755	26.637155321256614	42.681956156483345
15	low	female	71.20347602922651	212.77927209613685	194.2582992920747	27.7992272798505	27.16544978382897
16	low	male	65.31466911309867	125.00161180121984	190.8947931091895	46.70130626557659	39.65935591438627
17	moderate	female	64.48357701922173	237.1662811968123	191.12066382828993	33.31525267927736	37.431745555333165
18	none	male	58.46330933746613	206.77637986995012	196.49516722223524	29.596498004612087	43.50766439864954
19	none	female	66.94689795339117	112.26602900922889	190.980024562836	32.507396486992185	33.81679304789151
20	none	female	66.70466214881525	165.33472853290468	196.7238319250977	40.748366515183925	20.581803085778915
21	moderate	male	67.83255520568268	140.08303560319342	185.12654863518583	28.119888735856115	44.42613090541953
22	low	male	73.8076488125138	198.54419484328818	182.05290435483104	27.15132564548574	31.699199412466875
23	intense	male	67.93258426393476	177.6927282532456	191.08871196691283	34.61777103410147	62.14891808862454
24	none	male	59.47597452780891	218.93712172856937	196.9233328118089	28.566764982328884	31.347092944413614
25	high	female	78.01382941836518	138.91141813353738	187.64535993284625	37.69888886398571	36.019264913741516
26	low	male	70.8628713253798	178.35138312502016	190.0567919629758	32.83427719403327	42.77772673409031
27	low	female	72.28635946221931	179.51647970289264	185.11975549773592	31.507968191668535	29.566092006545862
28	moderate	female	60.714376708760035	157.9054199895007	189.45326115298903	21.69204120891482	31.946993676360343
29	none	female	68.74180327613108	150.18351638866503	192.49684981098056	31.21060350567852	37.82934426668081
30	none	male	64.61592028830243	194.9281341911344	186.3858252155629	38.306881803357456	34.29707200402157
31	low	female	67.62672349267648	117.94710370925623	190.96159588697958	16.393717291051352	33.008088822873695
