row	weekday	weather	time	temperature	pedestrian_level	police_presence	consumer_satisfaction	accidents_per_10K_1
1	Fr	rainy	overnight	74.03785038758545	2	1	36.521916579184925	14.441138770907633
2	Th	snowy	overnight	8.352385125982867	4	2	27.07105451838381	19.490043582528497
3	M	rainy	evening rush	78.04879972496124	1	2	42.90046719360622	9.911443992919303
4	Su	rainy	midday	72.27462562936269	5	1	70.37148868049512	15.853395756358237
5	M	rainy	evening rush	62.16583867031438	3	2	34.86001264637541	13.419687132010278
6	Sa	rainy	overnight	81.9507897096957	1	2	42.15185711238558	7.718826320922382
7	M	sunny	morning rush	77.65740966665811	1	4	54.925477484437934	7.6071224016615115
8	W	sunny	overnight	68.76024741336674	6	1	50.53434182231637	22.65515745221896
9	Fr	sunny	overnight	64.46492862170855	7	1	56.194155594820714	25.876647705940464
10	Su	sunny	overnight	70.16258470872144	6	2	31.363652657182175	20.75308839766133
11	Tu	sunny	overnight	65.53509151920537	4	1	61.1833624084873	15.470092726564303
12	W	sunny	evening rush	58.545452168327934	5	1	59.04627269776313	18.374510687477112
13	Fr	sunny	overnight	66.02002747576255	4	1	53.054492320353404	15.955485983006595
14	Fr	sunny	midday	71.44571627333414	5	1	33.95871312024334	16.733005970127643
15	W	snowy	midday	-3.1961843407258534	8	1	71.53250892122905	31.59835501008814
16	M	snowy	evening rush	7.813138488873357	4	1	27.298965329681664	20.575767405508113
17	W	snowy	morning rush	2.2292588020576423	11	2	56.044973271943014	37.80593113898619
18	Sa	sunny	morning rush	93.46648471025577	3	3	62.927460368483885	12.799676917747433
19	Su	sunny	overnight	72.74943460144019	5	1	31.516184122298043	22.435422241897186
20	M	sunny	midday	69.979359447402	7	2	53.75127132302593	21.12447932097719
21	Tu	sunny	overnight	74.42634605588447	7	1	45.248458125222285	22.830992098286206
22	M	sunny	midday	60.48493956201834	5	4	53.524067916046555	18.064917481716567
23	Tu	sunny	midday	59.573048125384275	10	3	64.7412870493107	30.827591153652413
24	Su	sunny	midday	67.74678353788397	7	3	56.942232963297606	16.117512341021527
25	Fr	sunny	morning rush	72.98388210888159	6	2	71.30506796114409	22.28189878017249
26	Tu	rainy	midday	60.02348863741794	5	3	71.1671593434143	19.058635847318513
27	Sa	sunny	midday	71.7574813185321	4	3	69.76254450751686	11.772449662908778
28	M	snowy	overnight	15.17819352625321	1	1	41.4802473735169	9.721448141198017
29	Th	snowy	morning rush	3.8126381033146988	4	1	58.91610125749048	14.874738756478159
30	Su	sunny	midday	81.71186062767194	7	2	49.84040412170985	18.92143188416967
31	W	sunny	morning rush	58.43454549177057	6	2	76.8599782405114	19.61009611229112
32	Tu	sunny	midday	87.46264691344106	3	1	37.63500050822931	8.168867967360132
33	Fr	snowy	overnight	10.996181946001686	2	1	53.008442602340025	12.169834640324995
34	Th	snowy	evening rush	-0.6272707734272629	4	1	73.20048202706519	15.6914458655652
35	W	sunny	midday	72.41761270654443	4	1	50.70083528665741	13.3055123461009
36	Tu	snowy	midday	8.131027728816516	3	1	71.70483831164151	15.013945961779593
37	Tu	rainy	overnight	68.84707407823467	3	2	49.73162317567435	16.475187480230524
38	Su	snowy	morning rush	7.1763308580918705	8	3	26.493805650418366	29.913693951549075
39	M	rainy	overnight	59.732606352823794	5	3	88.8762904467975	22.60432614267467
40	W	snowy	overnight	11.949923073599702	4	4	88.06983265494016	14.890866710688737
41	Th	sunny	overnight	49.291062031935766	9	3	46.38358246320879	28.53793450270945
42	W	snowy	midday	8.410957806285488	5	2	47.983366813248665	17.730014621774387
43	Sa	sunny	midday	65.96670875556032	3	4	29.048677923456715	8.109036353046298
44	Fr	snowy	overnight	25.606660474534582	7	1	68.79979816831616	28.415662488763175
45	Fr	sunny	morning rush	79.11403522357887	5	4	28.166887359820063	18.09470217390257
46	M	sunny	morning rush	72.02136181144726	3	1	84.6335438651492	9.462617864920203
47	Sa	sunny	overnight	62.577177009906556	4	1	24.30238832620742	17.295684773733992
48	W	sunny	evening rush	54.20684235906802	4	1	33.49176048087875	14.648190425973636
49	M	sunny	overnight	67.48586392676654	8	2	66.24048260243208	30.61334251989472
50	W	sunny	overnight	85.73007626228895	4	4	63.65510856701508	13.012903054136014
51	Sa	sunny	midday	70.73277586863567	6	4	42.459617546685465	19.6131716665641
52	Fr	sunny	midday	70.32167004184997	6	3	46.49298974818782	23.266170645885595
53	Su	sunny	midday	69.03457722496401	8	3	62.266504016122	21.75495208961521
54	M	sunny	midday	56.49115434137336	5	3	47.311848219932514	17.916283579177904
55	Su	rainy	morning rush	55.30577890170782	4	2	24.09792452863108	13.318510477814574
56	M	sunny	midday	83.47419983103613	4	1	64.98953962316432	12.002070691038174
57	Th	sunny	midday	92.10834428388898	7	2	74.99750458281241	20.069201818832322
58	Fr	sunny	morning rush	62.6022752904525	2	1	42.37019784116752	9.161115745589369
59	Th	sunny	evening rush	76.8566641702024	1	3	50.35489765426482	5.996824300268279
60	Su	sunny	evening rush	74.56563039058707	4	3	38.605633526904114	14.677828352848424
61	M	snowy	morning rush	10.487367902013709	5	1	74.06908659869956	21.225767941323227
62	Th	sunny	morning rush	73.10282742069782	5	1	47.680618041058544	19.97919606687227
63	M	sunny	midday	54.952304187070084	5	2	43.539308503376	19.374996795338916
64	Tu	sunny	evening rush	56.528625791758024	6	1	62.71458655047573	21.89446247187346
65	Th	sunny	midday	71.79225621508797	3	2	29.419266078338914	6.073811378180439
66	Th	sunny	midday	78.40062008800686	5	1	57.68424215070492	13.846732332691424
67	Fr	sunny	evening rush	63.70039006447135	6	2	40.110500329370666	22.24367273805704
68	M	sunny	midday	47.6108587266638	7	1	56.33466276447276	19.118885942426175
69	Sa	sunny	midday	67.19522668172759	2	1	38.87086380560824	7.1245330211099915
70	W	sunny	evening rush	58.81040549371697	4	2	69.36564985963311	15.361434476745934
71	Tu	sunny	morning rush	73.07524896764419	9	1	17.903771540674875	26.45950326246931
72	Th	sunny	overnight	67.31078718125647	4	1	73.16469696380443	14.280465978830575
73	Su	sunny	evening rush	61.68523371932112	8	3	66.23135415895794	21.634673347394617
74	M	sunny	overnight	65.66206235568075	3	2	30.700291268916395	18.283421353509485
75	Fr	snowy	evening rush	9.726986660669121	5	1	38.836116088007714	22.729000167663607
76	Sa	sunny	morning rush	97.35486643053221	6	1	60.86636463784944	15.713220251467646
77	W	sunny	morning rush	86.11572195295665	3	2	86.62023076946284	13.264264075487517
78	Sa	snowy	evening rush	13.400391294370811	6	2	40.89740420562026	21.46344067964632
79	Tu	snowy	midday	4.570474660794971	6	2	46.243910329524326	22.160147655039612
80	Su	sunny	midday	46.2983039546822	7	1	55.35450703365213	21.49375574354374
